Repository,Stars,Forks,Open Issues,Total Issues,Last Updated,Primary Language,Contributors
santi-nihany/certo,4,0,0,6,2024-09-23,TypeScript,5
jtriley2p/differential-noir-prototype,4,1,0,0,2024-12-11,Rust,1
catmcgee/what-is-noir,4,3,0,0,2025-04-16,Solidity,1
fluidkey/ethdam-2024,4,0,0,0,2024-04-17,Solidity,3
SleepingShell/darkforest-noir,4,0,0,1,2023-08-17,Roff,1
dry-ethglobal-brussels/dry-mobile-app,4,0,1,1,2025-02-01,Solidity,2
madztheo/noir-large-integer,4,1,0,1,2024-09-15,Rust,2
partylikeits1983/tornado-2.0,4,1,0,1,2025-06-28,Solidity,2
AztecProtocol/ab2,4,43,25,46,2025-05-14,TypeScript,6
signorecello/froglin-game,4,0,0,1,2025-04-24,Rust,1
0xrishabh/zkPic,3,0,0,2,2024-11-07,TypeScript,2
storswiftlabs/zkml-noir,3,0,0,0,2025-01-26,Python,3
pintoinfant/heimdall-protocol,3,0,0,0,2025-06-10,TypeScript,1
LucasAschenbach/content-commitment-protocol,3,1,0,6,2024-05-23,TypeScript,4
pierg/fact-fortress-dapp,3,1,4,9,2024-04-20,Solidity,5
raven-house/aztec-nextjs-starter,3,0,0,2,2025-06-13,TypeScript,2
oxor-io/zk-layer-vote,3,1,0,4,2025-01-07,Solidity,6
nemi-fi/aztec_storage_proofs,3,0,2,3,2025-06-25,TypeScript,1
joaolago1113/aztec_wallet,3,0,0,1,2025-01-11,TypeScript,1
ZeKshop/circuits,3,1,0,0,2025-06-13,TypeScript,1
tomoima525/noir-merkle-root,3,3,1,3,2024-09-15,Rust,1
ModoriLabs/semaphore.nr,3,0,3,11,2025-05-06,Solidity,2
wighawag/vitalik-secret,3,0,0,0,2024-11-01,Solidity,3
zkpersona/noir-social-verify,2,1,0,6,2025-05-04,TypeScript,2
ToJen/circuit-breaker,2,1,0,1,2024-02-19,Solidity,3
hooperben/lisan,2,0,0,0,2025-05-30,Noir,1
zac-williamson/fog_of_war_chess_app,2,1,0,0,2025-04-23,TypeScript,1
zk-scaling-group5/merkle-tree-noir,2,1,0,1,2024-11-24,Solidity,3
bauti-defi/Noir-Playground,2,0,0,0,2024-08-06,Roff,1
critesjosh/past-my-shades,2,0,0,0,2025-05-24,Solidity,1
jimjimvalkema/scrollZkStorageProofs,2,0,0,0,2025-04-11,Noir,1
skaunov/note_historical_offline,2,0,0,0,2025-06-23,TypeScript,1
zkpersona/noir-hmac,2,0,0,1,2025-06-07,Noir,2
anii76/zkhack-berlin,2,1,0,1,2025-06-26,HTML,3
dhrupad-sah/ZK-Gas,2,1,1,1,2024-06-27,Solidity,5
dewdrop-labs/Nebula,2,14,2,39,2025-04-29,TypeScript,12
Bisht13/zk-poker,2,0,0,0,2025-01-14,Noir,1
SleepingShell/noir-chacha20,2,2,2,3,2025-05-02,Rust,1
olehmisar/hardhat-noir-starter,2,0,0,0,2025-07-06,TypeScript,1
saleel/noir-recursion-example,2,1,0,0,2025-04-30,TypeScript,1
noir-lang/sparse_array,2,3,3,17,2025-04-17,Noir,6
ayushsingh82/PolyGate,2,0,0,0,2025-02-17,Solidity,1
brech1/zk-attestation,2,0,0,0,2024-10-10,Rust,1
takoprotocol/tako-anon,2,0,0,0,2025-02-18,Noir,1
michaelelliot/noir-sha1,2,0,0,0,2025-05-30,Rust,1
hooperben/commbank.eth,2,0,4,7,2025-07-05,Solidity,1
michaelelliot/noir_recursion_pattern,2,0,0,0,2024-10-23,Rust,1
catmcgee/aztec-voting-workshop,2,1,0,1,2024-07-16,Roff,1
aagbotemi/noir-voting-contract,2,0,0,0,2024-04-08,Roff,1
ToxicPine/zkpa,1,0,0,0,2024-03-17,JavaScript,2
zkpassport/noir-starter-pack,1,1,0,0,2024-11-30,TypeScript,1
blockful/daoleaks,1,0,1,9,2025-05-26,Solidity,2
sirasistant/noir-storage-flatten,1,0,0,0,2024-09-15,Rust,1
signorecello/noir-recursion,1,2,0,1,2023-08-09,Solidity,2
alejoamiras/noir-hardhat-template,1,0,0,4,2025-06-25,Solidity,1
grjte/noir_cbor,1,0,0,1,2024-10-15,Noir,1
zkmopro/circuit-registry,1,2,0,2,2025-06-04,Circom,2
TaceoLabs/noir-examples,1,0,1,2,2024-11-11,Noir,2
porco-rosso-j/aztec-modular-smart-account,1,0,0,0,2024-09-15,Rust,1
cf-cartesi/dfast,1,0,1,10,2024-09-02,Dart,3
aragonzkresearch/zkRegistry,1,0,0,0,2024-03-11,Solidity,1
porco-rosso-j/multi-factor-safe,1,0,0,1,2024-08-30,Solidity,1
yagopajarino/proof-of-poap-circuits,1,0,0,0,2024-11-17,Solidity,4
zac-williamson/fog_of_war_chess,1,0,1,1,2025-04-02,TypeScript,5
kevincharm/i_lost_my_eth_in_a_boating_accident,1,0,0,0,2024-06-19,Solidity,1
Mach-34/zkemail.nr-bench,1,1,0,4,2025-02-05,JavaScript,2
NikolayKostadinov21/aztec-nr-experiments,1,0,0,4,2025-06-02,Noir,1
porco-rosso-j/banganoir,1,0,1,3,2024-02-16,Solidity,1
crisgarner/ethGlobal-hack,1,0,0,0,2023-11-08,Solidity,1
hashcloak/noir-fixed-point,1,1,0,4,2025-04-16,Noir,3
microbecode/noirships,1,0,0,0,2025-05-25,TypeScript,1
ser12500/ShadowPool,1,0,0,0,2025-07-07,Solidity,1
argentlabs/exploration-private-token,1,0,0,0,2025-07-11,Cairo,1
noir-lang/eddsa,1,0,4,14,2025-07-02,Noir,5
aviral10x/ethonline,1,0,0,0,2023-10-23,Solidity,1
Mach-34/z-imburse,1,1,0,36,2025-05-27,Noir,3
vlayer-xyz/noir-profiling,1,0,0,8,2024-04-26,TypeScript,2
aviral10x/scaffold-noir,1,0,0,0,2023-10-20,TypeScript,1
defi-wonderland/aztec-extensions,1,0,3,3,2025-05-22,Noir,4
brweisz/PSE-Core-Program-2024-,1,0,0,0,2024-08-24,JavaScript,2
Neal-C/exploring_noirlang,1,0,0,0,2025-07-07,Solidity,1
noir-lang/mimc,1,1,2,6,2025-02-24,Noir,3
olehmisar/six-dos,1,0,0,1,2024-06-05,TypeScript,2
Heavy-Community/aztec-wallet,1,0,0,4,2024-09-15,TypeScript,1
Noir-ETH-Light-Client/circuits,1,0,0,2,2023-10-04,Solidity,1
TurnstilePortal/turnstile-contracts,1,0,0,25,2025-07-11,TypeScript,3
signorecello/noir-min-nodejs-example,1,1,3,3,2023-08-16,TypeScript,1
saleel/noir-web-starter,1,0,0,0,2025-05-17,JavaScript,1
m-kus/sn-zkemail-faucet,1,0,0,2,2025-05-24,Cairo,1
aragonzkresearch/nouns_voting_on_aztec,1,0,0,0,2024-09-15,Roff,1
JBANKS040/OpenBands,1,0,3,19,2025-07-05,TypeScript,2
vlayer-xyz/repro-unmutable-env,1,0,0,0,2024-09-14,Roff,1
wasabijiro/ChillVille,1,1,0,9,2025-04-30,TypeScript,2
RuntimeTerror-Labs/CelestialWallet,1,0,0,0,2024-02-25,Solidity,2
emirsoyturk/eth-global-online,1,1,0,1,2023-12-07,Jupyter Notebook,1
TaceoLabs/monty-hall-aztec,1,0,0,2,2025-03-18,Noir,3
mysteryon88/zk-hashes,1,0,0,0,2025-07-11,Circom,1
hooperben/pubtc,1,0,0,0,2025-01-31,Solidity,1
ronykris/alpha-build-1,1,0,0,9,2024-09-16,TypeScript,2
pierg/fact-fortress-compiler,1,0,0,0,2023-04-30,Roff,2
holonym-foundation/aztec-bridge,1,0,0,0,2025-07-01,TypeScript,2
neotheprogramist/zkps,1,0,0,0,2024-09-09,Rust,1
zkpersona/noir-jwt,1,0,0,7,2025-04-11,Noir,2
critesjosh/aztec-proxy-pattern,1,0,0,0,2024-09-14,Rust,1
nutrina/zk_passport_score,1,0,0,2,2024-02-12,Solidity,2
hooperben/noir-bsl,1,0,0,0,2024-09-16,Roff,1
olehmisar/prols,1,0,0,0,2025-02-15,TypeScript,2
Noir-W3C-Verifiable-Credentials/protocol-core,1,0,0,0,2023-12-07,JavaScript,1
altinakseven/zkane,1,2,0,0,2025-07-01,Rust,2
guelowrd/aztec-sandbox-basic-example,1,0,0,0,2023-10-19,Roff,1
germankuber/noir_password,0,0,0,0,2025-05-28,Noir,1
cloud1992/ZK_Panagram,0,0,0,0,2025-06-30,Solidity,1
alexghr/ro_cnp,0,0,0,0,2024-06-18,Earthly,1
Cheetah0x/aztec-starter,0,0,0,0,2025-02-11,Rust,6
lorta04/noirhack-neff-shuffle,0,0,0,0,2025-05-10,Noir,1
jp4g/brillig_bug_aztec,0,0,0,0,2023-12-15,Rust,1
NikolayKostadinov21/noir-private-voting,0,0,0,0,2024-07-30,Roff,1
sirasistant/noir-playground,0,0,0,0,2024-04-02,Roff,1
ETH-Ireland/saoirse-ethrome,0,0,0,0,2024-10-06,Solidity,1
shhtarknet/zkchase,0,0,0,4,2025-06-20,TypeScript,2
claudiovb/zk-encode-bootcamp,0,0,0,0,2023-10-15,Cairo,1
iamkunalb/zk,0,0,0,0,2025-06-27,Noir,1
rajeshb62/aztec-wallet,0,0,0,0,2024-11-02,TypeScript,2
filozif/aztec-template,0,0,0,0,2025-06-24,TypeScript,27
D3Portillo/noir-back,0,0,0,0,2025-04-15,Noir,1
calvbore/hello-noir-solution,0,0,0,0,2025-04-21,TypeScript,1
cypriansakwa/prove_threshold_policy,0,0,0,0,2025-07-07,Solidity,1
anudit/noir-single,0,0,0,0,2025-06-08,Solidity,1
Tetration-Lab/webtree,0,1,0,0,2023-11-18,Solidity,3
cypriansakwa/noir_zkp_bounds_check,0,0,0,0,2025-07-07,Solidity,1
kapow-tech/Swoir,0,0,0,0,2024-11-25,Swift,2
AuroraLantean/zero-knowledge,0,0,0,0,2024-11-30,Solidity,1
ETIM-PAUL/ZKEvent,0,1,0,0,2024-05-23,Solidity,1
salazarsebas/PoP,0,0,0,0,2025-06-19,TypeScript,1
microbecode/aztec-fiddling,0,0,0,0,2022-11-29,Solidity,1
dan-aztec/noir-succinct-template,0,1,0,2,2023-11-27,Solidity,3
vibern0/web3-experiments-proof-of-concepts,0,0,0,0,2024-03-12,TypeScript,1
mkaihara/zk-merkle-proofs-noir,0,0,0,0,2024-11-01,Solidity,1
Slokh/demo-issue,0,0,0,0,2024-12-03,TypeScript,1
Envoy-VC/ring-forum-noirhack,0,0,0,1,2025-05-06,TypeScript,1
jereldlimjy/rock-scroll-scissors,0,0,0,0,2024-04-30,Solidity,1
mr-harshtyagi/Eco-Track,0,0,0,0,2024-04-30,Solidity,1
reilabs/spartan-vm,0,0,0,0,2025-07-12,Rust,1
plume-sig/bn254,0,0,0,0,2025-06-07,Rust,1
signorecello/noir-garaga,0,0,0,0,2025-01-09,TypeScript,1
ewynx/conoir_starter,0,0,1,1,2024-12-10,Shell,1
PKerty/amm-front-v2,0,0,0,0,2024-08-04,TypeScript,1
micksabox/squizwords,0,0,0,1,2025-05-17,TypeScript,1
IndexMaker/noir-psymm,0,0,0,0,2025-03-19,Solidity,1
Apocentre/zk-auth,0,0,0,0,2023-12-05,Roff,1
